<<<<<<< Updated upstream
  0.99999999999999900       4.37113900018624124E-008  0.99999999999999900      -0.99999995628861005     
  0.99999530110200163      -3.06557888775779372E-003  0.99999686971099933       -1.0030655788865275     
  0.99992481407659417      -1.22623894037233883E-002  0.99995009920022826       -1.0122623890840547     
  0.99961932684754762      -2.75898784494561025E-002  0.99974876987723471       -1.0275898700717070     
  0.99879651570650685      -4.90461029291998363E-002  0.99921196812906199       -1.0490460166288385     
  0.99705989474557866      -7.66261462552807054E-002  0.99809419646226316       -1.0766256113651171     
  0.99389610485837510      -0.11032013754229043       0.99609193817240826       -1.1103177266974129     
  0.98866915979033798      -0.15011093391044877       0.99285038637344392       -1.1501021925443733     
  0.98060959629758104      -0.19597147662120382       0.98796903626246335       -1.1959443955762139     
  0.96879545660544086      -0.24786158084837442       0.98100438804477796       -1.2477870490674361     
  0.95212039455931530      -0.30572332960409454       0.97146721861495400       -1.3055361622877726     
  0.92924151703159830      -0.36947287183880478       0.95881036717857893       -1.3690356177937475     
  0.89849529560101771      -0.43898314749297601       0.94239998686510196       -1.4380188716215005     
  0.85776387649522901      -0.51404390102390829       0.92145728047227282       -1.5120134147315252     
  0.80426991774882584      -0.59426416634717005       0.89494641997278013       -1.5901445667690426     
  0.73429896568835051      -0.67882621412922672       0.86136639971861395       -1.6707202947693749     
  0.64300824638530463      -0.76585925278767464       0.81840089587678555       -1.7503578147492238     
  0.52520767820514136      -0.85097408583009426       0.76255184967657663       -1.8223997105016581     
  0.37976139519452845      -0.92508447328873977       0.68979499303718850       -1.8758100741898283     
  0.21751801759613815      -0.97605630576368196       0.59916508498916565       -1.9003644340143762     
  5.77448691805556719E-002 -0.99833137288343321       0.49545850228536464       -1.8974458124261360     
 -8.72644035009619984E-002 -0.99618518553611368       0.38496723876242100       -1.8776596752663770     
 -0.21477611751757100      -0.97666330910098109       0.27162679406454471       -1.8503979413575036     
 -0.32580513506590031      -0.94543694341013063       0.15730855055913978       -1.8209945753006818     
 -0.42195263815714962      -0.90661787493531232       4.28167557524324893E-002  -1.7920496399431642     
 -0.50461346314281075      -0.86334538442909348      -7.15602489420888999E-002  -1.7647137406910733     
 -0.57492828009886443      -0.81820380880472665      -0.18577823276978450       -1.7393781900506311     
 -0.63387959988269760      -0.77343173768119400      -0.29987277702894366       -1.7160023940710167     
 -0.68237483454743919      -0.73100245223689575      -0.41383022549021337       -1.6942697012110846     
 -0.72128582957709075      -0.69263753295016284      -0.52747197387729650       -1.6736758550042912     
 -0.75144752335892817      -0.65979286116002578      -0.64035324054410803       -1.6536027324763962     
